0-20000-0-14831	era5.1759.conv.2:14831
0-20000-0-14834	era5.1759.conv.2:14834
0-20000-0-14837	era5.1759.conv.2:14837
0-20000-0-14838	era5.1759.conv.2:14838
0-20000-0-14839	era5.1759.conv.2:14839
0-20000-0-14840	era5.1759.conv.2:14840
0-20000-0-14842	era5.1759.conv.2:14842
0-20000-0-14847	era5.1759.conv.2:14847
0-20000-0-14849	era5.1759.conv.2:14849
0-20000-0-14852	era5.1759.conv.2:14852
0-20000-0-14853	era5.1759.conv.2:14853
0-20000-0-14855	era5.1759.conv.2:14855
0-20000-0-14856	era5.1759.conv.2:14856
0-20000-0-14895	era5.1759.conv.2:14895
0-20000-0-14896	era5.1759.conv.2:14896
0-20000-0-14898	era5.1759.conv.2:14898
0-20000-0-14899	era5.1759.conv.2:14899
0-20000-0-14913	era5.1759.conv.2:14913
0-20000-0-14914	era5.1759.conv.2:14914
0-20000-0-14918	era5.1759.conv.2:14918
0-20000-0-14920	era5.1759.conv.2:14920
0-20000-0-14923	era5.1759.conv.2:14923
0-20000-0-14926	era5.1759.conv.2:14926
0-20000-0-14933	era5.1759.conv.2:14933
0-20000-0-14936	era5.1759.conv.2:14936
0-20000-0-14942	era5.1759.conv.2:14942
0-20000-0-14943	era5.1759.conv.2:14943
0-20000-0-14949	era5.1759.conv.2:14949
0-20000-0-14996	era5.1759.conv.2:14996
0-20000-0-15010	era5.1759.conv.1:15010
0-20000-0-15014	era5.1759.conv.1:15014
0-20000-0-15023	era5.1759.conv.1:15023
0-20000-0-15080	era5.1759.conv.1:15080
0-20000-0-15090	era5.1759.conv.1:15090
0-20000-0-15120	era5.1759.conv.1:15120
0-20000-0-15145	era5.1759.conv.1:15145
0-20000-0-15150	era5.1759.conv.1:15150
0-20000-0-15200	era5.1759.conv.1:15200
0-20000-0-15230	era5.1759.conv.1:15230
0-20000-0-15247	era5.1759.conv.1:15247
0-20000-0-15260	era5.1759.conv.1:15260
0-20000-0-15300	era5.1759.conv.1:15300
0-20000-0-15302	era5.1759.conv.1:15302
0-20000-0-15310	era5.1759.conv.1:15310
0-20000-0-15335	era5.1759.conv.1:15335
0-20000-0-15350	era5.1759.conv.1:15350
0-20000-0-15360	era5.1759.conv.1:15360
0-20000-0-15410	era5.1759.conv.1:15410
0-20000-0-15420	era5.1759.conv.1:15420
0-20000-0-15450	era5.1759.conv.1:15450
0-20000-0-15480	era5.1759.conv.1:15480
0-20000-0-15490	era5.1759.conv.1:15490
0-20000-0-15602	era5.1759.conv.2:15602
0-20000-0-15603	era5.1759.conv.2:15603
0-20000-0-15604	era5.1759.conv.2:15604
0-20000-0-15614	era5.1759.conv.1:15614
0-20000-0-15619	era5.1759.conv.2:15619
0-20000-0-15704	era5.1759.conv.2:15704
0-20000-0-15730	era5.1759.conv.1:15730
0-20000-0-15803	era5.1759.conv.2:15803
0-20000-0-15806	era5.1759.conv.2:15806
0-20000-0-15901	era5.1759.conv.2:15901
0-20000-0-15903	era5.1759.conv.2:15903
0-20000-0-15909	era5.1759.conv.2:15909
0-20000-0-16044	era5.1759.conv.1:16044
0-20000-0-16080	era5.1759.conv.1:16080
0-20000-0-16104	era5.1759.conv.2:16104
0-20000-0-16171	era5.1759.conv.2:34139
0-20000-0-16181	era5.1759.conv.1:16181
0-20000-0-16201	era5.1759.conv.2:16201
0-20000-0-16202	era5.1759.conv.2:16202
0-20000-0-16203	era5.1759.conv.2:16203
0-20000-0-16239	era5.1759.conv.1:16239
0-20000-0-16240	era5.1759.conv.1:16240
0-20000-0-16242	era5.1759.conv.1:16242
0-20000-0-16270	era5.1759.conv.2:34109
0-20000-0-16301	era5.1759.conv.2:16301
0-20000-0-16302	era5.1759.conv.2:16302
0-20000-0-16303	era5.1759.conv.2:16303
0-20000-0-16320	era5.1759.conv.1:16320
0-20000-0-16402	era5.1759.conv.2:16402
0-20000-0-16403	era5.1759.conv.2:16403
0-20000-0-16404	era5.1759.conv.2:16404
0-20000-0-16406	era5.1759.conv.2:16406
0-20000-0-16407	era5.1759.conv.2:16407
0-20000-0-16408	era5.1759.conv.2:16408
0-20000-0-16413	era5.1759.conv.2:16413
0-20000-0-16414	era5.1759.conv.2:16414
0-20000-0-16420	era5.1759.conv.1:16420
0-20000-0-16429	era5.1759.conv.1:16429
0-20000-0-16460	era5.1759.conv.1:16460
0-20000-0-16502	era5.1759.conv.2:16502
0-20000-0-16505	era5.1759.conv.2:16505
0-20000-0-16506	era5.1759.conv.2:16506
0-20000-0-16596	era5.1759.conv.1:16596
0-20000-0-16597	era5.1759.conv.1:16597
0-20000-0-16603	era5.1759.conv.2:16603
0-20000-0-16620	era5.1759.conv.1:16620
