primary_id	secondary_id	station_name	latitude	longitude	start	end	file
0-20000-0-48096	[48096]	MINGALADON	16.9	96.18	1954-07-01 00:00:00	1967-07-31 00:00:00	/raid60/scratch/leo/scratch/era5/odbs/1761/era5.1761.conv.1:48096
0-20000-0-16754	[16754]	HERAKLEION (AIRPORT)	35.349998	25.129999	1949-12-08 00:00:00	1967-12-31 00:00:00	/raid60/scratch/leo/scratch/era5/odbs/1761/era5.1761.conv.1:16754
0-20000-0-35188	[35188]	ASTANA	51.130001	71.370003	1955-01-02 00:00:00	1956-12-30 00:00:00	/raid60/scratch/leo/scratch/era5/odbs/1761/era5.1761.conv.1:35188
0-20000-0-12425	[12425]	WROCLAW-STARACHOWICE	51.130001	16.98	1956-11-01 00:00:00	1979-12-31 00:00:00	/raid60/scratch/leo/scratch/era5/odbs/1761/era5.1761.conv.1:12425
0-20000-0-10393	[10393]	LINDENBERG (10393-0)	52.22	14.12	1913-01-02 00:00:00	1913-12-31 00:00:00	/raid60/scratch/leo/scratch/era5/odbs/1761/era5.1761.conv.1913
0-20000-0-32150	[32150]	JUZHNO-SAHALINSK	46.919998	142.729996	1948-01-04 00:00:00	1979-12-31 00:00:00	/raid60/scratch/leo/scratch/era5/odbs/1761/era5.1761.conv.1:32150
0-20000-0-2963	[2963]	JOKIOINEN OBSERVATORY	60.82	23.48	1957-01-01 00:00:00	1979-12-31 00:00:00	/raid60/scratch/leo/scratch/era5/odbs/1761/era5.1761.conv.1:2963
0-20000-0-43466	[43466]	COLOMBO	6.9	79.870003	1954-08-25 00:00:00	1967-12-31 00:00:00	/raid60/scratch/leo/scratch/era5/odbs/1761/era5.1761.conv.1:43466
0-20000-0-48108	[48108]	DAWEI	14.1	98.220001	1954-07-05 00:00:00	1967-07-30 00:00:00	/raid60/scratch/leo/scratch/era5/odbs/1761/era5.1761.conv.1:48108
0-20000-0-26258	[26258]	PSKOV	57.830002	28.35	1948-10-04 00:00:00	1979-12-31 00:00:00	/raid60/scratch/leo/scratch/era5/odbs/1761/era5.1761.conv.1:26258
0-20000-0-72305	[72305]	NEWPORT, NC.	34.779999	-76.879997	1957-03-01 00:00:00	1979-12-31 00:00:00	/raid60/scratch/leo/scratch/era5/odbs/1761/era5.1761.conv.1:72305
0-20000-0-53845	[53845]	YAN AN (53845-0)	36.599998	109.529999	1956-08-20 00:00:00	1959-12-31 00:00:00	/raid60/scratch/leo/scratch/era5/odbs/1761/era5.1761.conv.1:53845
0-20000-0-40007	[40007]	ALEPPO INT. AEROPORT	36.18	37.220001	1957-07-01 00:00:00	1979-12-31 00:00:00	/raid60/scratch/leo/scratch/era5/odbs/1761/era5.1761.conv.1:40007
0-20000-0-48900	[48900]	TAN SON HOA	10.82	106.669998	1951-01-01 00:00:00	1967-07-31 00:00:00	/raid60/scratch/leo/scratch/era5/odbs/1761/era5.1761.conv.1:48900
0-20000-0-21824	[21824]	TIKSI	71.58	128.91	1937-05-19 00:00:00	1979-12-31 00:00:00	/raid60/scratch/leo/scratch/era5/odbs/1761/era5.1761.conv.1:21824
