	Unnamed: 0	press	hum	temp	datetime	sensor
655417	747	3792	76.01	279.99	2005-02-19 15:00:10+00:00	Vaisala
655422	750	3806	75.66	279.94	2005-02-19 15:00:10+00:00	Vaisala
655427	752	3815	75.01	279.94	2005-02-19 15:00:10+00:00	Vaisala
655432	755	3828	73.21	279.94	2005-02-19 15:00:10+00:00	Vaisala
655437	757	3837	72.92	279.94	2005-02-19 15:00:10+00:00	Vaisala
655442	760	3851	72.45	279.94	2005-02-19 15:00:10+00:00	Vaisala
655447	762	3860	72.07	279.94	2005-02-19 15:00:10+00:00	Vaisala
655452	765	3873	72.36	279.94	2005-02-19 15:00:10+00:00	Vaisala
655457	767	3882	72.98	279.94	2005-02-19 15:00:10+00:00	Vaisala
655462	770	3896	72.99	279.94	2005-02-19 15:00:10+00:00	Vaisala
655467	772	3905	73.5	279.9	2005-02-19 15:00:10+00:00	Vaisala
655472	775	3918	74.02	279.84	2005-02-19 15:00:10+00:00	Vaisala
655477	777	3927	74.64	279.79	2005-02-19 15:00:10+00:00	Vaisala
655482	780	3941	74.91	279.68	2005-02-19 15:00:10+00:00	Vaisala
655487	782	3950	74.99	279.61	2005-02-19 15:00:10+00:00	Vaisala
655492	785	3963	74.76	279.51	2005-02-19 15:00:10+00:00	Vaisala
655497	787	3972	74.16	279.5	2005-02-19 15:00:10+00:00	Vaisala
655502	790	3986	73.25	279.39	2005-02-19 15:00:10+00:00	Vaisala
655507	792	3995	72.99	279.3	2005-02-19 15:00:10+00:00	Vaisala
655512	795	4009	72.51	279.19	2005-02-19 15:00:10+00:00	Vaisala
655517	797	4018	72.61	279.15	2005-02-19 15:00:10+00:00	Vaisala
655522	800	4031	74.1	278.99	2005-02-19 15:00:10+00:00	Vaisala
655527	802	4040	74.8	278.89	2005-02-19 15:00:10+00:00	Vaisala
655532	805	4054	74.41	278.8	2005-02-19 15:00:10+00:00	Vaisala
655537	807	4063	73.59	278.78	2005-02-19 15:00:10+00:00	Vaisala
655542	810	4076	72.98	278.64	2005-02-19 15:00:10+00:00	Vaisala
655547	812	4085	72.24	278.51	2005-02-19 15:00:10+00:00	Vaisala
655552	815	4099	71.62	278.44	2005-02-19 15:00:10+00:00	Vaisala
655557	817	4108	70.59	278.4	2005-02-19 15:00:10+00:00	Vaisala
655562	820	4121	69.06	278.33	2005-02-19 15:00:10+00:00	Vaisala
655567	822	4130	69.66	278.3	2005-02-19 15:00:10+00:00	Vaisala
655572	825	4144	70.52	278.2	2005-02-19 15:00:10+00:00	Vaisala
655577	827	4153	71.48	278.15	2005-02-19 15:00:10+00:00	Vaisala
655582	830	4166	72.03	278.14	2005-02-19 15:00:10+00:00	Vaisala
655587	832	4175	72.67	278.12	2005-02-19 15:00:10+00:00	Vaisala
655592	835	4189	73.61	278.01	2005-02-19 15:00:10+00:00	Vaisala
655597	837	4198	73.92	277.98	2005-02-19 15:00:10+00:00	Vaisala
655602	840	4211	75.82	277.92	2005-02-19 15:00:10+00:00	Vaisala
655607	842	4220	77.08	277.83	2005-02-19 15:00:10+00:00	Vaisala
655612	845	4234	77.78	277.79	2005-02-19 15:00:10+00:00	Vaisala
655617	847	4243	77.22	277.74	2005-02-19 15:00:10+00:00	Vaisala
655622	850	4256	76.6	277.71	2005-02-19 15:00:10+00:00	Vaisala
655627	852	4265	76.6	277.63	2005-02-19 15:00:10+00:00	Vaisala
655632	855	4279	77.31	277.57	2005-02-19 15:00:10+00:00	Vaisala
655637	857	4288	77.82	277.5	2005-02-19 15:00:10+00:00	Vaisala
655642	860	4301	78.03	277.43	2005-02-19 15:00:10+00:00	Vaisala
655647	862	4310	78.03	277.43	2005-02-19 15:00:10+00:00	Vaisala
655652	865	4324	78.03	277.39	2005-02-19 15:00:10+00:00	Vaisala
655657	867	4333	78.03	277.31	2005-02-19 15:00:10+00:00	Vaisala
655662	870	4346	78.4	277.27	2005-02-19 15:00:10+00:00	Vaisala
655667	872	4355	78.98	277.16	2005-02-19 15:00:10+00:00	Vaisala
655672	875	4369	78.98	277.02	2005-02-19 15:00:10+00:00	Vaisala
655677	877	4378	78.98	277.01	2005-02-19 15:00:10+00:00	Vaisala
655682	880	4391	78.98	276.91	2005-02-19 15:00:10+00:00	Vaisala
655687	882	4400	78.98	276.9	2005-02-19 15:00:10+00:00	Vaisala
655692	885	4414	78.87	276.8	2005-02-19 15:00:10+00:00	Vaisala
