primary_id	station_name	files
0-20000-0-12905	GALVESTON, TX.	['/raid60/scratch/leo/scratch/era5/odbs/1761/era5.1761.conv.2:12905']
0-20000-0-12906	GALVESTON, TX.	['/raid60/scratch/leo/scratch/era5/odbs/1761/era5.1761.conv.2:12906']
0-20000-0-12914	VICTORIA/VICTORIA REGIONAL, TX.	['/raid60/scratch/leo/scratch/era5/odbs/1761/era5.1761.conv.2:12914']
0-20000-0-12918	GALVESTON, TX.	['/raid60/scratch/leo/scratch/era5/odbs/1761/era5.1761.conv.2:12918']
0-20000-0-12926	CORPUS CHRISTI/INT., TX.	['/raid60/scratch/leo/scratch/era5/odbs/1761/era5.1761.conv.2:12926']
0-20000-0-12928	CORPUS CHRISTI/INT., TX.	['/raid60/scratch/leo/scratch/era5/odbs/1761/era5.1761.conv.2:12928']
0-20000-0-12929	GALVESTON, TX.	['/raid60/scratch/leo/scratch/era5/odbs/1761/era5.1761.conv.2:12929']
0-20000-0-12946	CORPUS CHRISTI/INT., TX.	['/raid60/scratch/leo/scratch/era5/odbs/1761/era5.1761.conv.2:12946']
0-20000-0-12948	CIUDAD VICTORIA, TAMPS.	['/raid60/scratch/leo/scratch/era5/odbs/1761/era5.1761.conv.2:12948']
0-20000-0-12955	SOTO LA MARINA,  TAMPS.	['/raid60/scratch/leo/scratch/era5/odbs/1761/era5.1761.conv.2:12955']
0-20000-0-12982	SZEGED	['/raid60/scratch/leo/scratch/era5/odbs/1761/era5.1761.conv.1:12982']
0-20000-0-13002	CASABLANCA	['/raid60/scratch/leo/scratch/era5/odbs/1761/era5.1761.conv.2:13002']
0-20000-0-13003	FES-SAIS	['/raid60/scratch/leo/scratch/era5/odbs/1761/era5.1761.conv.2:13003']
0-20000-0-13005	MARRAKECH	['/raid60/scratch/leo/scratch/era5/odbs/1761/era5.1761.conv.2:13005']
0-20000-0-13007	OUJDA	['/raid60/scratch/leo/scratch/era5/odbs/1761/era5.1761.conv.2:13007']
0-20000-0-13009	RABAT-SALE	['/raid60/scratch/leo/scratch/era5/odbs/1761/era5.1761.conv.2:13009']
0-20000-0-13011	OUKAIMDEN	['/raid60/scratch/leo/scratch/era5/odbs/1761/era5.1761.conv.2:13011']
0-20000-0-13012	MEKNES	['/raid60/scratch/leo/scratch/era5/odbs/1761/era5.1761.conv.2:13012']
0-20000-0-13013	TAZA	['/raid60/scratch/leo/scratch/era5/odbs/1761/era5.1761.conv.2:13013']
0-20000-0-13015	AGADIR INEZGANNE	['/raid60/scratch/leo/scratch/era5/odbs/1761/era5.1761.conv.2:13015']
